
# Development Desktop 2.0
# Data Export for Sensor : BMX055
# Accelerometer Sensor Mode: Normal, Bandwidth: 1000 Hz, Range: 2g
# Magnetometer Sensor Mode : Suspend, Data Output Rate: 10 Hz, Axis Remapped
# Gyroscope Sensor Mode: Normal, Bandwidth: 523Hz fs -> 2KHz, Range: 2000°/s
# Start: 02.05.2014 00:17:49
# Time Stamp , Accel X-axis - M/s2, Accel Y-axis - M/s2, Accel Z-axis - M/s2, Gyro X-axis - °/s, Gyro Y-axis - °/s, Gyro Z-axis - °/s, 
00:17:49.8551652,     -0,1341,     -0,5842,      9,5481,      0,9766,     -0,8545,      2,4414,
00:17:49.8551652,     -0,1915,     -0,5459,      9,6055,      0,0000,      0,9766,      3,0518,
00:17:49.8551652,     -0,1724,     -0,4788,      9,6055,     -1,7090,     -3,1738,     -1,4648,
00:17:49.8551652,     -0,1724,     -0,4788,      9,6055,     -1,7090,     -3,1738,     -1,4648,
00:17:49.8551652,     -0,0862,     -0,5076,      9,5002,      3,0518,      5,7373,     -1,4648,
00:17:49.8551652,     -0,0958,     -0,4022,      9,4715,     -2,3193,     -4,1504,      3,0518,
00:17:49.8651652,     -0,0958,     -0,5555,      9,4810,      0,3662,     -2,9297,      0,4883,
00:17:49.8651652,     -0,1149,     -0,5076,      9,5864,      0,4883,      0,4883,      0,2441,
00:17:49.8651652,     -0,1053,     -0,6321,      9,4906,     -0,7324,      2,1973,     -4,5166,
00:17:49.8651652,     -0,1724,     -0,4788,      9,5002,     -1,8311,     -2,5635,      2,0752,
00:17:49.8651652,     -0,1628,     -0,5555,      9,5577,     -1,2207,      1,3428,      2,4414,
00:17:49.8651652,     -0,0766,     -0,5650,      9,5672,      4,6387,      0,9766,     -8,4229,
00:17:49.8651652,     -0,0766,     -0,5076,      9,5864,     -2,6855,     -2,5635,      7,2021,
00:17:49.8651652,     -0,1437,     -0,5555,      9,5960,     -0,8545,      2,6855,     -0,8545,
00:17:49.8651652,     -0,1245,     -0,5459,      9,5577,      0,3662,     -0,1221,     -0,4883,
00:17:49.8651652,     -0,2394,     -0,4597,      9,6343,     -1,5869,     -3,7842,     -0,6104,
00:17:49.8651652,     -0,1245,     -0,5650,      9,5098,      3,5400,      0,7324,     -1,2207,
00:17:49.8651652,     -0,1532,     -0,4501,      9,4619,      0,4883,      4,5166,     -2,3193,
00:17:49.8651652,     -0,0766,     -0,4884,      9,5193,     -1,2207,     -4,1504,      6,9580,
00:17:49.8651652,     -0,0862,     -0,5076,      9,5672,     -2,8076,     -2,5635,     -0,1221,
00:17:49.8651652,     -0,1245,     -0,5171,      9,5960,      5,3711,      4,0283,     -0,2441,
00:17:49.8651652,     -0,1149,     -0,4884,      9,6151,     -2,1973,     -0,3662,     -1,8311,
00:17:49.8651652,     -0,1724,     -0,5267,      9,5577,     -1,3428,     -2,5635,      2,3193,
00:17:49.8651652,     -0,1820,     -0,4405,      9,5768,      3,7842,      2,9297,     -5,6152,
00:17:49.8651652,     -0,1820,     -0,5171,      9,5385,     -3,5400,      1,4648,      3,2959,
00:17:49.8751652,     -0,1532,     -0,4597,      9,5098,      0,7324,     -5,3711,      3,5400,
00:17:49.8751652,     -0,0670,     -0,5842,      9,5002,     -2,3193,      0,4883,     -0,3662,
00:17:49.8761652,     -0,0958,     -0,5076,      9,4906,      4,2725,      4,6387,     -1,9531,
00:17:49.8761652,     -0,0670,     -0,5267,      9,6247,      0,8545,     -1,9531,     -1,9531,
00:17:49.8771653,     -0,1915,     -0,4405,      9,5864,     -3,4180,      2,1973,      0,4883,
00:17:49.8771653,     -0,1820,     -0,4980,      9,4619,      1,0986,     -0,6104,      1,8311,
00:17:49.8781654,     -0,1149,     -0,4980,      9,5098,      3,0518,     -1,0986,     -1,4648,
00:17:49.8781654,     -0,1532,     -0,4214,      9,6055,     -2,9297,      2,9297,     -0,4883,
00:17:49.8781654,     -0,0958,     -0,4980,      9,6151,     -1,7090,     -2,9297,      4,8828,
00:17:49.8791654,     -0,0958,     -0,5363,      9,5289,      2,6855,      0,8545,     -4,3945,
00:17:49.8791654,     -0,1245,     -0,4693,      9,5672,     -1,0986,      0,0000,      0,1221,
00:17:49.8801655,     -0,1437,     -0,5555,      9,5385,     -0,7324,      1,4648,     -1,9531,
00:17:49.8801655,     -0,1341,     -0,4884,      9,4523,      1,5869,     -3,0518,      0,7324,
00:17:49.8811655,     -0,1820,     -0,5267,      9,4906,     -0,8545,      3,0518,      0,1221,
00:17:49.8961664,     -0,0958,     -0,4980,      9,5960,     -0,3662,     -2,6855,      3,6621,
00:17:49.8961664,     -0,1053,     -0,4788,      9,5960,     -1,5869,     -2,8076,     -5,0049,
00:17:49.8971664,     -0,1245,     -0,5363,      9,5289,      2,8076,      0,6104,      0,3662,
00:17:49.8971664,     -0,1628,     -0,4693,      9,6055,     -0,4883,      5,0049,      4,0283,
00:17:49.8981665,     -0,0958,     -0,4118,      9,5289,     -1,8311,     -6,9580,     -6,8359,
00:17:49.8981665,     -0,0575,     -0,4788,      9,4619,      0,3662,      2,5635,      5,4932,
00:17:49.8981665,     -0,2107,     -0,5555,      9,5481,      1,4648,      0,8545,     -2,8076,
00:17:49.8991666,     -0,1053,     -0,6129,      9,6534,     -1,2207,     -8,7891,      3,0518,
00:17:49.8991666,     -0,2298,     -0,5650,      9,5768,      0,9766,      4,2725,     -3,7842,
00:17:49.8991666,     -0,1915,     -0,5842,      9,5577,     -1,8311,     -1,0986,      5,2490,
